idx,subject,source,split,question,correct_answer,predicted_answer,is_correct,condition,tokens_input,tokens_output,raw_response_1,raw_response_2,logprob_A,logprob_B,logprob_C,logprob_D,confidence
mbe_0,nan,MBE-1972-78-part2,train,Paul then called Vic to testify that Dan's car did run the light. The trial judge should rule that V,B,B,True,7,588,341,"To be admissible, evidence must be relevant and not outweighed by countervailing considerations such as being unfairly prejudicial, confusing, a waste of time, privileged, or based on hearsay.","B

The extracted legal rule states that to be admissible, evidence must be relevant and not outweighed by countervailing considerations. 

Step 2 — ELEMENTS: The key elements of this rule are:
1. Relevance: The evidence must pertain to material issues in the case.
2. Absence of countervailing considerations: The evidence should not be unfairly prejudicial, confusing, a waste of time, privileged, or based on hearsay.

Step 3 — APPLICATION: 
- (A) Admissible because Paul was surprised by Wes's testimony: While surprise can sometimes allow for the introduction of additional evidence, it does not directly address the relevance or countervailing considerations of Vic's testimony.
- (B) Admissible because Vic's testimony was relevant to material issues: Vic's testimony directly addresses the issue of whether Dan's car ran the red light, which is a material issue in the case. Therefore, it is relevant.
- (C) Inadmissible because Paul cannot impeach his own witness: This statement is misleading. While there are limitations on impeaching one's own witness, it does not automatically render Vic's testimony inadmissible.
- (D) Inadmissible because Paul is bound by the testimony of his own witness: This is incorrect as the law does not bind a party to the testimony of their own witness if they can present other relevant evidence.

Step 4 — CONCLUSION: The best answer is (B",-7.002749443054199,-0.0027492421213537455,-8.3777494430542,-100.0,0.9988588620798426
mbe_1,nan,MBE-1972-78-part2,train,"On cross-examination of Vic, Dan's attorney asked if Vic was drunk at the time he witnessed the acci",D,D,True,7,872,337,A matter is considered collateral if it is not relevant in the litigation to establish a fact of consequence and is only relevant for the purpose of contradicting the in-court testimony of the witness.,"D  
The extracted legal rule states that a matter is considered collateral if it is not relevant in the litigation to establish a fact of consequence and is only relevant for the purpose of contradicting the in-court testimony of the witness. 

In this case, Vic's testimony about never being drunk is not directly relevant to the facts of the accident itself, which is the primary issue in the litigation. The question of whether Vic has ever been drunk does not establish a fact of consequence regarding the accident; it only serves to contradict Vic's statement. Therefore, the inquiry into Vic's past drinking does not relate to the core issues of the case and is considered collateral.

Now, evaluating the answer choices:
- (A) is incorrect because the testimony about Vic's past drinking does not relate to his recollection of the recent events of the accident.
- (B) is incorrect because it suggests that Vic's character is relevant to the truth of his testimony, which is not the case here.
- (C) is incorrect because while a witness cannot be impeached by specific acts of misconduct, the focus here is on the collateral nature of the inquiry rather than the specific act itself.
- (D) is correct because it accurately identifies the collateral nature of the question regarding Vic's past drinking, which does not establish a fact of consequence in the litigation.

Thus, the trial judge should rule that Yank's testimony is inadmissible because the question of whether Vic has ever been drunk is a collateral matter.",-100.0,-100.0,-3.7744572162628174,-0.024457227438688278,0.9770226298390826
mbe_2,nan,MBE-1972-78-part2,train,Dan called Zemo as a witness and asked him if he knew Vic's reputation for veracity in the community,C,C,True,7,914,347,"Before a document may be received in evidence, it must meet foundational requirements including relevancy, authentication, the best evidence rule, and hearsay, but a statute may eliminate some of these obstacles for business records if specific conditions are met.","C

The extracted legal rule states that before a document may be received in evidence, it must meet foundational requirements including relevancy, authentication, the best evidence rule, and hearsay, but a statute may eliminate some of these obstacles for business records if specific conditions are met. 

In this scenario, Dan is attempting to establish the reputation for veracity of Vic through Zemo's testimony. The question posed to Zemo is relevant to the credibility of Vic, which is a key issue in the trial, particularly since it pertains to the impeachment of Vic's character. 

Now, evaluating the answer choices:

(A) This choice suggests that the question is collateral to the issues on trial. However, the reputation for veracity is directly relevant to the credibility of a witness, making this choice incorrect.

(B) This choice states that character cannot be proven by generalities. While character evidence can be complex, the question about Vic's reputation is not a generality but rather a specific inquiry into his reputation in the community, making this choice incorrect.

(C) This choice states that the question is unobjectionable because it lays a foundation for impeachment of Vic. This is correct because establishing Vic's reputation for truthfulness is directly relevant to his credibility as a witness.

(D) This choice suggests that Zemo could be expected to know Vic personally if he knew his reputation. While this may be true, it does not directly address the relevance of the question to the impeachment of Vic, making this choice less compelling than",-5.949076175689697,-100.0,-0.07407628744840622,-3.5740761756896973,0.968048418390046
mbe_3,nan,MBE-1972-78-part2,train,"Jim watched a liquor store furtively for some time, planning to hold it up. He bought a realistic-lo",B,B,True,7,736,332,"Generic burglary's unlawful-entry element excludes cases where a person enters premises open to the public, regardless of intent, and requires breaking and entering or similar unlawful activity.","B

The extracted legal rule states that generic burglary's unlawful-entry element excludes cases where a person enters premises open to the public, regardless of intent, and requires breaking and entering or similar unlawful activity. 

Step 2 — ELEMENTS: The key elements of the rule are:
1. The entry must be into a building or structure that is not open to the public.
2. The act of breaking and entering or similar unlawful activity must be present.

Step 3 — APPLICATION: 
- (A) The intent required was not present: While Jim may have had a change of heart, the intent to commit a felony was present when he entered the store, so this defense does not apply.
- (B) The liquor store was open to the public: This is a strong defense because if the store was open to the public, Jim's entry does not constitute burglary under the rule, regardless of his intent.
- (C) He had a change of heart and withdrew before committing any crime inside the store: While this may indicate a lack of intent to complete the crime, it does not address the fact that he entered a public place, which is a key element of the burglary definition.
- (D) He was unsuccessful, and so at most could only be guilty of attempted burglary: The definition of burglary does not hinge on success; it focuses on the unlawful entry and intent, which Jim had.

Step 4 — CONCLUSION: The best defense for Jim is that the liquor store",-3.814718246459961,-0.06471820920705795,-3.314718246459961,-100.0,0.9413607988961932
mbe_7,nan,MBE-1972-78-part2,train,"If Dotty asserts a claim against Canco based on negligence, the doctrine of res ipsa loquitur is",C,C,True,7,1138,356,"The res ipsa loquitur doctrine allows a jury to infer negligence from circumstantial evidence if the event is one that ordinarily does not occur without negligence, was caused by an instrumentality under the exclusive control of the defendant, and was not due to any voluntary action by the plaintiff.","C

The extracted legal rule states that the res ipsa loquitur doctrine allows a jury to infer negligence from circumstantial evidence if the event is one that ordinarily does not occur without negligence, was caused by an instrumentality under the exclusive control of the defendant, and was not due to any voluntary action by the plaintiff.

Now, let's break down the elements:

1. The event must be of a kind which ordinarily does not occur in the absence of someone's negligence.
2. It must be caused by an agency or instrumentality within the exclusive control of the defendant.
3. It must not have been due to any voluntary action or contribution on the part of the plaintiff.

Now, let's evaluate each answer choice:

(A) Applicable, because the tuna was packed in a sealed can: While the sealed can indicates that the product was under Canco's control, it does not address the other elements of res ipsa loquitur, particularly the issue of whether the event (illness from the tuna) ordinarily occurs without negligence.

(B) Applicable, because Canco as the packer is strictly liable: This choice misapplies the doctrine of res ipsa loquitur, which is about negligence, not strict liability.

(C) Not applicable, because the case of tuna had been knocked over by the workmen: This choice correctly identifies that the workmen's actions (not Canco) contributed to the event, which means the tuna was not under Canco's exclusive control at the time of the incident.",-7.0029215812683105,-100.0,-0.0029214953538030386,-7.0029215812683105,0.9981795562848796
mbe_8,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Dotty, Dotty most likely will",B,B,True,7,900,330,"In Indiana, a real-property owner owes a duty of care to social guests to refrain from willfully, wantonly, or intentionally injuring them.","B

The extracted legal rule states that in Indiana, a real-property owner owes a duty of care to social guests to refrain from willfully, wantonly, or intentionally injuring them. 

Step 2 — ELEMENTS: The key elements of this rule are:
1. The duty of care is owed by a real-property owner (or host) to social guests.
2. The standard of care requires the host to refrain from willfully, wantonly, or intentionally injuring the guest.

Step 3 — APPLICATION: 
- Answer choice (A) suggests strict liability, which does not align with the rule as it requires a higher standard of care than what is stated.
- Answer choice (B) states that Dotty will be held liable only if she were negligent. This aligns with the rule because if Dotty acted negligently (i.e., failed to exercise reasonable care in serving the tuna), she could be held liable. The rule does not impose strict liability but rather a standard of care.
- Answer choice (C) suggests that Dotty would only be liable if her conduct was in reckless disregard of Guest's safety. This is a higher standard than what is required by the rule, which only requires a failure to refrain from willful or wanton injury.
- Answer choice (D) states that Dotty would not be held liable because Guest was a social visitor. However, the rule specifically addresses the duty owed to social guests, meaning that Dotty does have a duty",-5.7589335441589355,-0.008933625183999538,-100.0,-100.0,0.9968273169012635
mbe_9,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Supermart, the most likely result is that Guest will",B,B,True,7,826,353,"To demonstrate strict liability, a plaintiff must show that the defendant's product was defectively unreasonably dangerous for its intended use, that the defect existed when the product left the defendant's control, and that the defect was the proximate cause of the injury sustained.","B

To demonstrate strict liability, a plaintiff must show: (1) that the defendant's product was in a defective condition unreasonably dangerous for its intended use, (2) that the defect existed when the product left the defendant's control, and (3) that the defect was the proximate cause of the injury sustained.

1. **Defective Condition**: The tuna was unfit for consumption, which indicates it was in a defective condition that was unreasonably dangerous for its intended use (consumption).
2. **Existence of Defect**: The defect (unfit for consumption) existed when the product left Supermart's control, as the tuna was part of the stock that was damaged and subsequently sold.
3. **Proximate Cause**: The illness suffered by Dotty and Guest was directly caused by consuming the defective tuna, establishing a clear link between the defect and the injury.

Given these elements, Guest can assert a claim against Supermart based on strict liability, as all necessary conditions are met. 

- **Option A (res ipsa loquitur)** is not applicable here as the facts do not suggest that the injury was caused by an event that typically does not occur without negligence.
- **Option C (proper warning)** is irrelevant because the issue is about the product's defectiveness, not about warnings.
- **Option D (not the purchaser)** does not bar recovery under strict liability, as a bystander or a guest can recover if they",-100.0,-16.503183364868164,-100.0,-100.0,1.0
mbe_10,nan,MBE-1972-78-part2,train,"If Addle assigns the contract to Coot, who has comparable experience and reputation, which of the fo",C,B,False,7,568,253,Contracts are freely assignable unless the contract expressly states that it is not assignable or if the performance of a term involves an element of personal skill or credit.,"B

Step 1 — RULE: Contracts are freely assignable unless the contract expressly states that it is not assignable or if the performance of a term involves an element of personal skill or credit.

Step 2 — ELEMENTS: 
1. Contracts are generally assignable.
2. Exceptions to assignability include:
   a. The contract expressly states it is not assignable.
   b. The performance involves an element of personal skill or credit.

Step 3 — APPLICATION: In this case, the contract between Addle and Boone does not contain a provision regarding assignment, which means it is generally assignable. However, the nature of the contract (painting a barn) likely involves an element of personal skill and credit, as Boone may have chosen Addle based on his reputation and expertise. Therefore, Boone may refuse to accept performance by Coot, even though Coot has comparable experience and reputation.

Step 4 — CONCLUSION: Given that the performance involves personal skill and credit, Boone has the right to refuse to accept performance by Coot. Thus, the correct answer is (B).",-9.274402618408203,-0.024402545765042305,-7.024402618408203,-100.0,0.9989930214834519
mbe_11,nan,MBE-1972-78-part2,train,If Addle assigns the contract to Coot and thereafter Coot does not meet the contract specifications ,A,A,True,7,584,314,"Under Massachusetts law, claims for breach of contract are generally assignable.","A

Under Massachusetts law, claims for breach of contract are generally assignable. This means that Addle, as the original contractor, can assign his rights and obligations under the contract to Coot. However, the assignment does not relieve Addle of his obligations under the contract unless Boone agrees to release him.

Now, let's evaluate the answer choices:

(A) Boone has a cause of action against Addle for damages. This is correct because even though Addle assigned the contract to Coot, he remains liable to Boone for any breach of contract unless Boone has released him from liability. Since there is no indication that Boone has waived his rights against Addle, he can pursue damages from Addle.

(B) Boone has a cause of action only against Coot for damages. This is incorrect because Boone can also hold Addle liable for the breach, as the assignment does not absolve Addle of his responsibilities under the contract.

(C) Boone has a cause of action against Addle for damages only after he has first exhausted his remedies against Coot. This is incorrect because Boone does not need to exhaust remedies against Coot before pursuing a claim against Addle. Both parties can be liable.

(D) Boone does not have a cause of action against Addle for damages because he waived his rights against Addle by permitting Coot to perform the work. This is incorrect because there is no evidence that Boone waived his rights against Addle by allowing Coot to perform the work.

Therefore, the best",-0.3891497552394867,-1.389149785041809,-2.6391496658325195,-100.0,0.6787582175078263
mbe_12,nan,MBE-1972-78-part2,train,"On the evidence stated, Crowley should be found",C,B,False,7,768,341,"To obtain a conspiracy conviction under § 371, the Government must prove an agreement to commit a crime, that the defendant knowingly joined the conspiracy, and that a conspirator performed an overt act in furtherance of the agreement.","B

Step 1 — RULE: To obtain a conspiracy conviction under § 371, the Government must prove (1) that an agreement existed between two or more persons to commit a crime; (2) that the defendant knowingly and voluntarily joined or participated in the conspiracy; and (3) a conspirator performed an overt act in furtherance of the agreement.

Step 2 — ELEMENTS: 
1. An agreement existed between two or more persons to commit a crime.
2. The defendant knowingly and voluntarily joined or participated in the conspiracy.
3. A conspirator performed an overt act in furtherance of the agreement.

Step 3 — APPLICATION:
- **Agreement**: Jackson and Brannick had an agreement to steal food stamps, and Crowley agreed to buy them, which indicates he was part of the conspiracy.
- **Knowledge and Participation**: Crowley knowingly agreed to buy the stolen food stamps, which shows he voluntarily joined the conspiracy. His understanding that ""hot"" meant stolen indicates he was aware of the criminal nature of the transaction.
- **Overt Act**: The act of Jackson and Brannick delivering the stolen food stamps to Crowley constitutes an overt act in furtherance of the conspiracy.

Step 4 — CONCLUSION: Crowley meets all the elements required for a conspiracy conviction. Therefore, the best answer is (B) guilty, because he knowingly and willingly aided and abetted the conspiracy and is chargeable as a principal.",-4.53765869140625,-0.03765879571437836,-100.0,-100.0,0.9890130562359708
