idx,subject,source,split,question,correct_answer,predicted_answer,is_correct,condition,tokens_input,tokens_output,raw_response_1,raw_response_2,logprob_A,logprob_B,logprob_C,logprob_D,confidence
mbe_0,nan,MBE-1972-78-part2,train,Paul then called Vic to testify that Dan's car did run the light. The trial judge should rule that V,B,B,True,4,372,231,"B

1. Choice (A) invokes the principle of surprise in witness testimony, suggesting that surprise allows for the admission of contradictory testimony. However, the gold passage does not support this principle as a basis for admissibility.
2. Choice (B) invokes the relevance of Vic's testimony to material issues in the case. The gold passage supports the idea that evidence must be relevant to be admissible, and Vic's testimony directly addresses the issue of whether Dan's car ran the red light.
3. Choice (C) invokes the principle that a party cannot impeach their own witness. The gold passage does not specifically address this principle in the context of admissibility, but it does not support the idea that Vic's testimony is automatically inadmissible.
4. Choice (D) suggests that Paul is bound by Wes's testimony, which is a common principle in trial law. However, the gold passage does not support this as an absolute rule against the admissibility of Vic's testimony.

After evaluating all choices, (B) is the only one that is supported by the gold passage regarding the relevance of evidence. Therefore, it is the correct answer.",,-5.25773811340332,-0.007738177664577961,-100.0,-100.0,0.9947798739727408
mbe_1,nan,MBE-1972-78-part2,train,"On cross-examination of Vic, Dan's attorney asked if Vic was drunk at the time he witnessed the acci",D,D,True,4,553,115,"D  
The question of whether Vic has ever been drunk is a collateral matter, as it does not establish a fact of consequence relevant to the litigation. The gold passage indicates that a matter is considered collateral if it is not relevant to establish a fact of consequence and is only relevant for the purpose of contradicting the witness's testimony. Since Vic's statement about never being drunk does not directly relate to the events of the accident, the trial judge should rule that Yank's testimony is inadmissible. Therefore, choice D is supported by the gold passage and is the correct answer.",,-100.0,-100.0,-3.311206579208374,-0.06120649352669716,0.9626731157347207
mbe_2,nan,MBE-1972-78-part2,train,Dan called Zemo as a witness and asked him if he knew Vic's reputation for veracity in the community,C,C,True,4,538,240,"C

1. Choice (A) invokes the principle that questions may be objectionable if they are collateral to the issues on trial. The gold passage does not address this principle directly, so it does not support this choice. ELIMINATED.

2. Choice (B) suggests that character cannot be proven by generalities. The gold passage does not discuss character evidence or its admissibility, so it does not support this choice. ELIMINATED.

3. Choice (C) states that the question is unobjectionable because it lays a foundation for impeachment of Vic. The gold passage does not specifically address impeachment or character evidence, but it does imply that foundational requirements must be met for evidence to be admissible. Since establishing Vic's reputation for veracity could be relevant to impeachment, this choice is supported. KEEP.

4. Choice (D) claims that the question is unobjectionable because Zemo could be expected to know Vic personally if he knew his reputation. While this may be true, the gold passage does not provide support for the idea that personal knowledge is sufficient for admissibility in this context. ELIMINATED.

After evaluating all choices, the surviving answer is C.",,-100.0,-100.0,-0.08813099563121796,-2.5881309509277344,0.924141816844876
mbe_3,nan,MBE-1972-78-part2,train,"Jim watched a liquor store furtively for some time, planning to hold it up. He bought a realistic-lo",B,A,False,4,507,102,"A  
Jim's best defense would be that the intent required was not present. The gold passage indicates that generic burglary requires breaking and entering or similar unlawful activity, and since the liquor store was open to the public, Jim's entry does not constitute unlawful entry. Therefore, he lacks the necessary intent to commit burglary, as he did not complete the act of entering with the intent to commit a felony or theft. The other options do not effectively address the legal definition of burglary as it pertains to Jim's situation.",,-0.7233191132545471,-100.0,-0.7233191132545471,-100.0,0.5
mbe_7,nan,MBE-1972-78-part2,train,"If Dotty asserts a claim against Canco based on negligence, the doctrine of res ipsa loquitur is",C,C,True,4,747,359,"C

1. Choice A invokes the doctrine of res ipsa loquitur based on the fact that the tuna was packed in a sealed can. 
2. The gold passage does not support this choice because while sealed cans may suggest a lack of negligence, the criteria for res ipsa loquitur require that the event must be caused by an agency within the exclusive control of the defendant, which is not established here due to the workmen's actions. Therefore, this choice is ELIMINATED.

1. Choice B suggests that res ipsa loquitur is applicable because Canco, as the packer, is strictly liable.
2. The gold passage does not support this choice because res ipsa loquitur is a doctrine related to negligence, not strict liability. Therefore, this choice is ELIMINATED.

1. Choice C states that res ipsa loquitur is not applicable because the case of tuna had been knocked over by the workmen.
2. The gold passage supports this choice because one of the criteria for res ipsa loquitur is that the event must be caused by an agency or instrumentality within the exclusive control of the defendant. Since the workmen knocked over the cans, this indicates that the event was not solely under Canco's control. Therefore, this choice is KEEP.

1. Choice D claims that res ipsa loquitur is not applicable because of the sign on the table from which Dotty purchased the tuna.
2. The gold passage does not directly address the impact of a sign on the applicability of res ipsa loquitur. However, the presence of a sign does not negate the criteria for res ipsa loquitur regarding control and causation. Therefore, this choice is ELIMINATED.

After evaluating all choices, the surviving answer is C.",,-5.884609222412109,-100.0,-0.009609460830688477,-5.759609222412109,0.9940441087579848
mbe_8,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Dotty, Dotty most likely will",B,B,True,4,631,275,"B

1. Choice (A) invokes the doctrine of strict liability in tort for serving spoiled food. 
2. The gold passage does not support strict liability; it indicates that the duty of care owed by a host to social guests is limited to refraining from willful or intentional harm. Therefore, this choice is ELIMINATED.

1. Choice (B) invokes the standard of negligence, which requires a breach of duty that causes harm. 
2. The gold passage supports this by indicating that the host must refrain from willful or wanton injury, implying that negligence could lead to liability. This choice is KEEP.

1. Choice (C) suggests that liability only arises from reckless disregard for safety. 
2. The gold passage does not support this higher standard of conduct, as it indicates that the duty is to refrain from willful or intentional harm, not just reckless disregard. Therefore, this choice is ELIMINATED.

1. Choice (D) states that Dotty would not be liable because Guest was a social visitor. 
2. The gold passage indicates that a host has a duty to social guests, so this choice is contradicted by the passage. Therefore, this choice is ELIMINATED.

After evaluating all choices, the surviving answer is B, as it aligns with the standard of care required of a host towards social guests.",,-4.6644721031188965,-0.039472103118896484,-100.0,-100.0,0.9902915235185259
mbe_9,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Supermart, the most likely result is that Guest will",B,B,True,4,582,348,"B

1. Choice (A) invokes the doctrine of res ipsa loquitur, which allows a presumption of negligence when an accident occurs that would not normally happen without negligence. However, the gold passage does not support this theory as it focuses on strict liability rather than negligence. Therefore, this choice is ELIMINATED.

2. Choice (B) invokes the theory of strict liability in tort. The gold passage outlines the requirements for strict liability, which include that the product was in a defective condition unreasonably dangerous for its intended use, that the defect existed when the product left the defendant's control, and that the defect was the proximate cause of the injury sustained. In this case, the tuna was unfit for consumption, which indicates a defective condition, and it was sold by Supermart, thus satisfying the requirements for strict liability. This choice is supported by the gold passage and is therefore KEEP.

3. Choice (C) argues that Guest will not recover because Supermart gave proper warning. However, the presence of a warning does not negate strict liability if the product is defective and unreasonably dangerous. The gold passage does not support this defense in the context of strict liability. Thus, this choice is ELIMINATED.

4. Choice (D) states that Guest will not recover because she was not the purchaser of the cans. While it is true that typically only the purchaser can sue for product defects, many jurisdictions allow for claims by third parties under strict liability principles. The gold passage does not explicitly support this limitation, so this choice is also ELIMINATED.

After evaluating all choices, the surviving answer is B, as it aligns with the principles of strict liability outlined in the gold passage.",,-100.0,-0.000264315924141556,-100.0,-100.0,1.0
mbe_10,nan,MBE-1972-78-part2,train,"If Addle assigns the contract to Coot, who has comparable experience and reputation, which of the fo",C,B,False,4,357,376,"(B) 

1. **Legal Doctrine**: This choice invokes the principle that a party may refuse to accept performance from an assignee if the contract involves personal skill or credit.
2. **Gold Passage Support**: The gold passage states that contracts are not freely assignable when performance involves an element of personal skill or credit. Since Addle has a fine reputation and has been in the business for ten years, Boone may consider Addle's personal skill and reputation as significant to the contract.
3. **Marking**: KEEP

(A) 

1. **Legal Doctrine**: This choice suggests that Addle is in breach of contract for assigning the contract.
2. **Gold Passage Support**: The gold passage does not support this choice because it does not state that an assignment itself constitutes a breach unless the contract expressly prohibits it or involves personal skill or credit.
3. **Marking**: ELIMINATED

(C) 

1. **Legal Doctrine**: This choice states that Boone is required to accept performance by Coot.
2. **Gold Passage Support**: The gold passage contradicts this choice because it indicates that Boone may refuse performance if the contract involves personal skill or credit, which is likely the case here.
3. **Marking**: ELIMINATED

(D) 

1. **Legal Doctrine**: This choice suggests that there is a novation, which would require the original party to be released from the contract.
2. **Gold Passage Support**: The gold passage does not support this choice, as it does not mention novation in the context of assignment and personal skill or credit.
3. **Marking**: ELIMINATED

After evaluating all four choices, the surviving answer is (B). Boone may refuse to accept performance by Coot due to the personal skill and credit involved in the contract.",,-100.0,-1.1392065286636353,-100.0,-100.0,1.0
mbe_11,nan,MBE-1972-78-part2,train,If Addle assigns the contract to Coot and thereafter Coot does not meet the contract specifications ,A,A,True,4,395,121,"A  
Boone has a cause of action against Addle for damages. Under Massachusetts law, claims for breach of contract are generally assignable, which means that even though Addle assigned the contract to Coot, Addle remains liable for the performance of the contract. The gold passage does not indicate that the assignment of the contract absolves Addle of liability. Therefore, Boone can pursue damages against Addle directly, regardless of Coot's performance. Choices B, C, and D are eliminated because they either limit Boone's ability to sue Addle or incorrectly suggest that he has waived his rights.",,-0.6945977210998535,-1.1945977210998535,-1.6945977210998535,-100.0,0.506480391055654
mbe_12,nan,MBE-1972-78-part2,train,"On the evidence stated, Crowley should be found",C,B,False,4,532,344,"B

1. Choice (A) invokes the principle that a new confederate entering an ongoing conspiracy becomes a party to it. The gold passage does not specifically address this principle, but it does state that an agreement must exist between two or more persons to commit a crime. Since Crowley did not participate in the planning or execution of the theft, this choice is not fully supported. ELIMINATED.

2. Choice (B) suggests that Crowley knowingly and willingly aided and abetted the conspiracy and is chargeable as a principal. The gold passage supports the idea that a defendant can be found guilty if they knowingly and voluntarily joined or participated in the conspiracy. Crowley’s agreement to buy the stolen food stamps indicates his participation in the conspiracy. KEEP.

3. Choice (C) argues that Crowley is not guilty because he did not help plan or participate in the theft. However, the gold passage does not require direct involvement in the theft itself, only that the defendant knowingly joined the conspiracy. Since Crowley did agree to buy the stolen stamps, this choice is contradicted by the gold passage. ELIMINATED.

4. Choice (D) states that Crowley cannot be guilty of conspiracy by himself because Jackson and Brannick had not been convicted of or charged with conspiracy. The gold passage does not support this assertion, as it only requires that an agreement existed and that the defendant participated in it. Crowley’s actions indicate he was part of the conspiracy, regardless of the status of Jackson and Brannick. ELIMINATED.

After evaluating all choices, the only surviving answer is (B), as it aligns with the requirements for a conspiracy conviction outlined in the gold passage.",,-4.1987504959106445,-0.07375035434961319,-100.0,-100.0,0.9840936105040935
