idx,subject,source,split,question,correct_answer,predicted_answer,is_correct,condition,tokens_input,tokens_output,raw_response_1,raw_response_2,logprob_A,logprob_B,logprob_C,logprob_D,confidence
mbe_0,nan,MBE-1972-78-part2,train,Paul then called Vic to testify that Dan's car did run the light. The trial judge should rule that V,B,B,True,3,1311,176,"B
The legal rule stated in the passage is that evidence must be relevant and not outweighed by countervailing considerations to be admissible. Applying this directly to the facts, Vic's testimony that Dan's car ran the light is relevant to the material issue of whether Dan's car actually ran the red light, which is a crucial point of contention in the case. The passage does not support excluding Vic's testimony simply because he is testifying for Paul after another witness (Wes) has given contradictory testimony. Therefore, answer choice (B) is supported by the passage as it aligns with the principle that relevant evidence should be admissible. Answer choices (A), (C), and (D) are not directly addressed by the general rule of relevance stated in the passage, but (B) fits the criteria for admissibility based on relevance to material issues.",,-100.0,-0.036908265203237534,-100.0,-100.0,1.0
mbe_1,nan,MBE-1972-78-part2,train,"On cross-examination of Vic, Dan's attorney asked if Vic was drunk at the time he witnessed the acci",D,D,True,3,1491,229,"(D)
The legal rule stated in the passage is that a matter is considered collateral if it is not relevant to establish a fact of consequence in the litigation, other than mere contradiction of a witness's testimony. In this case, the question of whether Vic has ever been drunk is a collateral matter because it does not relate to the facts of the accident or any other issue of consequence in the litigation. The only purpose of introducing Yank's testimony would be to contradict Vic's statement that he has never been drunk, which is not relevant to the case at hand. Therefore, the passage supports answer choice (D), which states that Yank's testimony is inadmissible because the question of whether Vic has ever been drunk is a collateral matter. 

The other options are incorrect because: 
(A) The passage does not discuss imperfect recollection as a basis for impeachment.
(B) The passage does not suggest that Vic's character for truthfulness can be attacked through specific acts of misconduct.
(C) The passage does not state that a witness cannot be impeached by proof of specific acts of misconduct, but rather discusses the collateral nature of certain testimony.",,-100.0,-100.0,-100.0,-2.512134552001953,1.0
mbe_2,nan,MBE-1972-78-part2,train,Dan called Zemo as a witness and asked him if he knew Vic's reputation for veracity in the community,C,A,False,3,1480,270,"(A)

The legal rule or principle stated in the passage is that before evidence may be received, it must meet certain foundational requirements, including relevancy and authentication, although a statute may eliminate some of these obstacles for specific types of documents. Applying this principle to the facts, we see that the question asked of Zemo regarding Vic's reputation for veracity is collateral to the main issue of whether Dan's car ran a red light, as it does not directly pertain to the events in question but rather attempts to impeach a witness's character through hearsay (reputation). The passage emphasizes the importance of foundational requirements such as relevancy, which this line of questioning fails to meet because it introduces information that is not directly relevant to the central issue of the case. Therefore, the question should be ruled objectionable because it is collateral to the issues on trial.

Note: The provided gold passage primarily discusses the admissibility of documents into evidence and the specific requirements for business records under § 490.680. However, the underlying principle of ensuring that evidence meets foundational requirements such as relevancy can be applied broadly, including to witness testimony about character or reputation. The question's lack of direct relevance to the main issue (whether Dan's car ran a red light) makes it collateral and thus objectionable under general principles of evidence admissibility.",,-3.579899787902832,-100.0,-100.0,-100.0,1.0
mbe_3,nan,MBE-1972-78-part2,train,"Jim watched a liquor store furtively for some time, planning to hold it up. He bought a realistic-lo",B,B,True,3,1448,185,"(B)
The gold passage states that generic burglary's unlawful-entry element excludes any case in which a person enters premises open to the public, no matter his intent. In Jim's case, he entered the liquor store through the front door, which was open to the public at the time. According to the passage, this means that Jim did not meet the ""unlawful-entry"" element required for burglary, because he entered a premises that was open to the public. Therefore, answer choice (B) is supported by the gold passage.

Note: The other options do not directly relate to the specific rule stated in the gold passage. Option (A) discusses intent, but the passage focuses on the manner of entry. Option (C) mentions withdrawal, which is not addressed in the passage. Option (D) discusses the difference between attempted and completed burglary, which is also not relevant to the rule stated in the passage.",,-100.0,-1.6340891122817993,-100.0,-100.0,1.0
mbe_7,nan,MBE-1972-78-part2,train,"If Dotty asserts a claim against Canco based on negligence, the doctrine of res ipsa loquitur is",C,C,True,3,1693,254,"C
The legal rule stated in the passage is that for the doctrine of res ipsa loquitur to apply, three criteria must be met, including that the event must not have been due to any voluntary action or contribution on the part of the plaintiff and that it must be caused by an agency or instrumentality within the exclusive control of the defendant. Applying this rule directly to the facts, we see that the damage to the tuna (the event in question) was caused by the workmen knocking over the stacks of canned goods, which means it was not within Canco's exclusive control and was due to an action by a third party (the workmen). Therefore, the criteria for res ipsa loquitur are not met, making answer choice (C) correct because it states that res ipsa loquitur is not applicable due to the involvement of the workmen. Answer choices (A) and (B) are incorrect because they do not address the control issue or misapply the concept of strict liability in this context. Answer choice (D) is also incorrect because the sign on the table, while indicating knowledge of damage, does not directly relate to the applicability of res ipsa loquitur as defined by the criteria in the passage.",,-100.0,-100.0,-0.0017439585644751787,-100.0,1.0
mbe_8,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Dotty, Dotty most likely will",B,B,True,3,1570,222,"(B)
The legal rule stated in the passage is that a host's duty of care to social guests requires only that the host refrain from willfully, wantonly, or intentionally injuring them. Applying this rule directly to the facts, we see that Dotty's serving of spoiled tuna does not necessarily imply willful, wanton, or intentional conduct on her part. The passage suggests that for Guest to prevail, Dotty would need to have been negligent, as there is no indication that she intentionally served harmful food. Answer choice (A) is incorrect because strict liability in tort typically applies to manufacturers or sellers of products, not to social hosts. Answer choice (C) is also incorrect because reckless disregard is a higher standard than negligence and is not the applicable standard according to the passage. Answer choice (D) is incorrect because the passage specifically addresses the duty of care owed to social guests, implying that Guest's status as a social visitor does not automatically exempt Dotty from liability. Therefore, the most appropriate answer is (B), which states that Dotty will be held liable only if she were negligent.",,-100.0,-7.9277849197387695,-100.0,-100.0,1.0
mbe_9,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Supermart, the most likely result is that Guest will",B,B,True,3,1525,266,"B
The gold passage outlines the requirements for demonstrating strict liability in tort, which includes showing that the product was in a defective condition when it left the defendant's control and that this defect caused the injury. In this case, Supermart, as the seller of the dented cans of tuna, can be considered to have control over the product at the time of sale. The fact that the tuna was unfit for consumption and caused illness supports the claim that it was defective. Additionally, since Supermart sold the tuna in its damaged state (dented cans), it can be argued that the defect existed when the product left Supermart's control. Therefore, Guest's claim against Supermart could likely succeed under the theory of strict liability in tort, as outlined in the gold passage, making answer (B) the most appropriate choice.

The other options are less applicable: 
- Res ipsa loquitur (A) typically applies when the injury could only have occurred due to the defendant's negligence, which isn't directly addressed by the gold passage.
- Proper warning (C) might be relevant in a negligence claim but doesn't directly relate to the strict liability criteria outlined in the passage.
- The issue of who purchased the cans (D) is not a determining factor according to the strict liability criteria provided in the gold passage.",,-100.0,-0.010122021660208702,-17.19046401977539,-100.0,0.9999999654321589
mbe_10,nan,MBE-1972-78-part2,train,"If Addle assigns the contract to Coot, who has comparable experience and reputation, which of the fo",C,C,True,3,1295,171,"C
The gold passage states that exceptions to the rule that contracts are freely assignable include when the contract expressly provides that it is not assignable or when performance of some term of the contract involves an element of personal skill or credit. In this case, there is no express provision in the contract stating that it is not assignable, and although Addle has a fine reputation, the fact pattern does not suggest that Boone contracted with Addle specifically because of his personal skills or credit. Since Coot has comparable experience and reputation to Addle, the assignment does not appear to involve a significant change in the level of skill or credit that Boone could reasonably expect. Therefore, the passage supports answer choice (C), which states that Boone is required to accept performance by Coot, as there are no exceptions to the general rule of assignability that apply in this scenario.",,-100.0,-13.627218246459961,-0.00010066637332784012,-100.0,0.9999987926935902
mbe_11,nan,MBE-1972-78-part2,train,If Addle assigns the contract to Coot and thereafter Coot does not meet the contract specifications ,A,A,True,3,1334,232,"(A)
The legal rule stated in the passage is that under Massachusetts law, claims for breach of contract are generally assignable. Applying this directly to the facts, when Addle assigns the contract to Coot and Coot fails to meet the contract specifications, Boone's ability to seek damages does not necessarily hinge on the assignment itself being valid or not, but rather on who is responsible for the breach. Since the contract was assigned, both the assignor (Addle) and the assignee (Coot) can be liable for different aspects of the contract performance. However, the key point here is that the delegation of duties to Coot does not automatically absolve Addle of his original contractual obligations unless there's an express agreement to novate or release Addle from liability, which is not mentioned in the scenario provided. Therefore, Boone has a cause of action against Addle for damages because Addle remains liable for ensuring that the contract terms are met, even after assigning it to Coot, making answer (A) correct. The passage supports this conclusion by implying that assignment does not inherently release the assignor from liability without further context indicating such release.",,-0.2924540936946869,-100.0,-100.0,-100.0,1.0
mbe_12,nan,MBE-1972-78-part2,train,"On the evidence stated, Crowley should be found",C,C,True,3,1465,206,"C
The legal rule stated in the passage requires that to obtain a conspiracy conviction, the Government must prove that the defendant knowingly and voluntarily joined or participated in the conspiracy, among other things. Applying this directly to the facts, we see that Crowley did not join or participate in the conspiracy to steal the food stamps; he merely agreed to buy them after they were stolen. The passage emphasizes the need for participation or joining in the conspiracy, which excludes answer choices (A) and (B) because they imply guilt based on actions taken after the conspiracy was already in progress and successfully executed. Answer choice (D) is incorrect because it introduces an irrelevant requirement about convictions or charges against other parties. Therefore, the passage supports answer choice (C), which states that Crowley should be found not guilty because he neither helped to plan nor participated in or assisted with the theft, despite knowing the stamps were stolen. This aligns with the principle that mere knowledge of a crime or agreement to buy stolen goods does not constitute participation in a conspiracy.",,-100.0,-100.0,-0.0011071664048358798,-100.0,1.0
