idx,subject,source,split,question,correct_answer,predicted_answer,is_correct,condition,tokens_input,tokens_output,raw_response_1,raw_response_2,logprob_A,logprob_B,logprob_C,logprob_D,confidence
mbe_0,nan,MBE-1972-78-part2,train,Paul then called Vic to testify that Dan's car did run the light. The trial judge should rule that V,B,B,True,2,519,137,"To be admissible, evidence must be relevant and not outweighed by countervailing considerations such as being unfairly prejudicial, confusing, a waste of time, privileged, or based on hearsay.","B

Vic's testimony is admissible because it is relevant to the material issues of the case, specifically whether Dan's car ran the red light. The gold passage indicates that for evidence to be admissible, it must be relevant and not outweighed by countervailing considerations. Since Vic's testimony directly addresses the issue at hand, it meets the relevance requirement. The other options either misinterpret the rules regarding witness testimony or incorrectly assert that Vic's testimony is inadmissible.",-6.002972602844238,-0.002972710644826293,-100.0,-100.0,0.9975273765774739
mbe_1,nan,MBE-1972-78-part2,train,"On cross-examination of Vic, Dan's attorney asked if Vic was drunk at the time he witnessed the acci",D,D,True,2,803,163,A matter is considered collateral if it is not relevant in the litigation to establish a fact of consequence and is only relevant for the purpose of contradicting the in-court testimony of the witness.,"D  
The trial judge should rule that Yank's testimony is inadmissible because the question of whether Vic has ever been drunk is a collateral matter. According to the legal rule extracted from the gold passage, a matter is considered collateral if it is not relevant in the litigation to establish a fact of consequence and is only relevant for the purpose of contradicting the in-court testimony of the witness. In this case, Vic's past drunkenness does not relate to the facts of the accident itself and is not relevant to the credibility of his testimony regarding the specific incident. Therefore, it does not meet the criteria for admissibility.",-100.0,-100.0,-5.007516860961914,-0.007516834419220686,0.9933071492521724
mbe_2,nan,MBE-1972-78-part2,train,Dan called Zemo as a witness and asked him if he knew Vic's reputation for veracity in the community,C,C,True,2,842,131,"A document must meet foundational requirements including relevancy, authentication, the best evidence rule, and hearsay, but business records may be admitted despite being hearsay if they satisfy the criteria outlined in § 490.680.","C  
The question posed by Dan to Zemo regarding Vic's reputation for veracity is unobjectionable because it serves as a foundation for the impeachment of Vic. Impeachment of a witness's credibility is a recognized purpose in court, and establishing a witness's reputation for truthfulness is a valid method of doing so. Therefore, the trial judge should allow the question as it is relevant to the credibility of Vic as a witness.",-6.4077839851379395,-100.0,-0.03278407081961632,-5.0327839851379395,0.9916290960328513
mbe_3,nan,MBE-1972-78-part2,train,"Jim watched a liquor store furtively for some time, planning to hold it up. He bought a realistic-lo",B,B,True,2,667,120,"Generic burglary's unlawful-entry element excludes cases where a person enters premises open to the public, regardless of intent, and requires breaking and entering or similar unlawful activity.","B

Jim's best defense against the burglary charge is that the liquor store was open to the public. According to the extracted legal rule, generic burglary's unlawful-entry element excludes cases where a person enters premises that are open to the public, regardless of intent. Since the liquor store was open at the time Jim entered, he cannot be charged with burglary under this definition, as his entry does not constitute the unlawful entry required for the crime.",-5.007399559020996,-0.007399453315883875,-100.0,-100.0,0.9933071497784488
mbe_7,nan,MBE-1972-78-part2,train,"If Dotty asserts a claim against Canco based on negligence, the doctrine of res ipsa loquitur is",C,C,True,2,1069,174,"The res ipsa loquitur doctrine allows a jury to infer negligence from circumstantial evidence if the event is one that ordinarily does not occur without negligence, was caused by an instrumentality under the exclusive control of the defendant, and was not due to any voluntary action by the plaintiff.","C  
The doctrine of res ipsa loquitur is not applicable in this case because the event (the tuna being unfit for consumption) was caused by the workmen knocking over the cases of tuna, which indicates that there was a voluntary action or contribution on the part of the plumbing contractor's workmen, not solely by Canco. For res ipsa loquitur to apply, the event must be caused by an agency or instrumentality within the exclusive control of the defendant, and in this case, the control was not exclusive to Canco due to the actions of the workmen.",-7.750517845153809,-11.500517845153809,-0.0005177667480893433,-9.500517845153809,0.9994845414109575
mbe_8,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Dotty, Dotty most likely will",B,B,True,2,831,139,"In Indiana, a real-property owner owes a duty of care to social guests to refrain from willfully, wantonly, or intentionally injuring them.","B  
Dotty will most likely be held liable only if she were negligent. The legal rule indicates that a host's duty of care to social guests is to refrain from willfully, wantonly, or intentionally injuring them. This implies that ordinary negligence is not sufficient for liability; rather, there must be a failure to exercise reasonable care. Since the situation involves serving food that was unfit for consumption, liability would hinge on whether Dotty acted negligently in her selection and serving of the tuna, rather than strict liability or intentional harm.",-4.760161399841309,-0.01016152836382389,-100.0,-100.0,0.9914225134933439
mbe_9,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Supermart, the most likely result is that Guest will",B,B,True,2,757,177,"To demonstrate strict liability, a plaintiff must show that the defendant's product was defectively unreasonably dangerous for its intended use, that the defect existed when the product left the defendant's control, and that the defect was the proximate cause of the injury sustained.","B  
To establish a claim for strict liability, Guest must demonstrate that the tuna was in a defective condition that was unreasonably dangerous for its intended use, that this defect existed when the product left Supermart's control, and that the defect was the proximate cause of the illness suffered by Guest. In this case, the tuna was unfit for consumption, which indicates it was defective and unreasonably dangerous. The defect existed when the product left Supermart's control, as it was sold to Dotty in a damaged state. Therefore, Guest is likely to recover on the theory of strict liability in tort.",-100.0,-16.750553131103516,-100.0,-100.0,1.0
mbe_10,nan,MBE-1972-78-part2,train,"If Addle assigns the contract to Coot, who has comparable experience and reputation, which of the fo",C,B,False,2,499,105,Contracts are freely assignable unless the contract expressly states that it is not assignable or if the performance of a term involves an element of personal skill or credit.,"B  
Boone may refuse to accept performance by Coot. According to the extracted legal rule, contracts are freely assignable unless the contract expressly states otherwise or if the performance involves an element of personal skill or credit. Since the contract for painting the barn likely involves personal skill and the reputation of the contractor, Boone has the right to refuse Coot's performance.",-7.28149938583374,-0.031499382108449936,-100.0,-100.0,0.9992903296035411
mbe_11,nan,MBE-1972-78-part2,train,If Addle assigns the contract to Coot and thereafter Coot does not meet the contract specifications ,A,B,False,2,515,124,"Under Massachusetts law, claims for breach of contract are generally assignable.","B  
Under Massachusetts law, claims for breach of contract are generally assignable, which means that Addle could assign his contract with Boone to Coot. Once the contract was assigned, Boone's primary relationship for performance of the contract is with Coot, not Addle. Therefore, if Coot fails to meet the contract specifications, Boone has a cause of action against Coot for damages. Boone does not have a direct cause of action against Addle unless there are specific circumstances that would allow for that, which are not present in this scenario.",-0.976039469242096,-0.47603946924209595,-6.601039409637451,-100.0,0.6216129279094073
mbe_12,nan,MBE-1972-78-part2,train,"On the evidence stated, Crowley should be found",C,B,False,2,699,144,"To obtain a conspiracy conviction under § 371, the Government must prove an agreement to commit a crime, that the defendant knowingly joined the conspiracy, and that a conspirator performed an overt act in furtherance of the agreement.","B  
Crowley should be found guilty because he knowingly and willingly aided and abetted the conspiracy by agreeing to buy the stolen food stamps, which constitutes participation in the conspiracy. The evidence shows that Crowley understood the stamps were stolen and agreed to purchase them, fulfilling the requirement that he knowingly joined the conspiracy. Additionally, the act of purchasing the stolen food stamps can be seen as an overt act in furtherance of the conspiracy, satisfying the legal requirements for a conspiracy conviction under § 371.",-4.761628150939941,-0.011628193780779839,-100.0,-100.0,0.9914225142219733
