idx,subject,source,split,question,correct_answer,predicted_answer,is_correct,condition,tokens_input,tokens_output,raw_response_1,raw_response_2,logprob_A,logprob_B,logprob_C,logprob_D,confidence
mbe_0,nan,MBE-1972-78-part2,train,Paul then called Vic to testify that Dan's car did run the light. The trial judge should rule that V,B,B,True,2,2349,111,"To be admissible, evidence must be relevant and not outweighed by countervailing considerations such as being unfairly prejudicial, confusing, a waste of time, privileged, or based on hearsay.","B  
Reasoning: The gold passage establishes that evidence must be relevant to be admissible. Vic's testimony regarding whether Dan's car ran the red light is directly relevant to the material issues of the case, specifically the circumstances surrounding the accident. Therefore, Vic's testimony should be admissible based on its relevance, making answer (B) correct.",-7.254860877990723,-0.0048610917292535305,-5.504860877990723,-100.0,0.9952259539923717
mbe_1,nan,MBE-1972-78-part2,train,"On cross-examination of Vic, Dan's attorney asked if Vic was drunk at the time he witnessed the acci",D,C,False,2,2633,157,A matter is considered collateral if it is not relevant in the litigation to establish a fact of consequence and is only relevant for the purpose of contradicting the in-court testimony of the witness.,"C  
Reasoning: The gold passage establishes that a matter is considered collateral if it is not relevant to establish a fact of consequence in the litigation and is only relevant for the purpose of contradicting the witness's testimony. In this case, Vic's past instance of being drunk two years prior is not relevant to the current matter of whether he accurately observed the accident, making it inadmissible for impeachment purposes. Therefore, the trial judge should rule that Yank's testimony is inadmissible because a witness cannot be impeached by proof of specific acts of misconduct, which aligns with answer (C).",-100.0,-100.0,-0.0011737978784367442,-6.751173973083496,0.998830489939609
mbe_2,nan,MBE-1972-78-part2,train,Dan called Zemo as a witness and asked him if he knew Vic's reputation for veracity in the community,C,A,False,2,2671,149,"A document may be admitted as competent evidence if it meets foundational requirements including relevancy, authentication, and hearsay exceptions, and specifically for business records, it must satisfy the criteria outlined in § 490.680.","A  
Reasoning: The question regarding Vic's reputation for veracity is collateral to the main issues of the trial, which focus on the events surrounding the car accident and whether Dan's car ran the red light. The gold passage discusses foundational requirements for evidence but does not address character evidence or its admissibility in this context. Since the question about Vic's reputation does not directly pertain to the facts of the case at hand, it is objectionable as being collateral to the issues on trial, making answer (A) correct.",-0.4981907308101654,-4.498190879821777,-0.9981907606124878,-4.623190879821777,0.6093808935791987
mbe_3,nan,MBE-1972-78-part2,train,"Jim watched a liquor store furtively for some time, planning to hold it up. He bought a realistic-lo",B,C,False,2,2498,132,"The unlawful-entry element of generic burglary excludes cases where a person enters premises open to the public, regardless of intent, and requires breaking and entering or similar unlawful activity.","C  
Reasoning: The gold passage establishes that the unlawful-entry element of generic burglary excludes cases where a person enters premises that are open to the public, regardless of the person's intent. Since the liquor store was open to the public at the time Jim entered, he can argue that he had a change of heart and withdrew before committing any crime inside the store, which supports his defense that he did not complete the act of burglary. Therefore, answer (C) is the best defense for Jim.",-2.352247714996338,-1.602247714996338,-0.3522476553916931,-100.0,0.7033139884590833
mbe_7,nan,MBE-1972-78-part2,train,"If Dotty asserts a claim against Canco based on negligence, the doctrine of res ipsa loquitur is",C,C,True,2,2898,158,"The res ipsa loquitur doctrine allows a jury to infer negligence from circumstantial evidence if the event is one that ordinarily does not occur without negligence, was caused by an agency within the exclusive control of the defendant, and was not due to any voluntary action by the plaintiff.","C  
Reasoning: The doctrine of res ipsa loquitur requires that the event must not have been due to any voluntary action or contribution on the part of the plaintiff. In this case, the tuna was damaged when the workmen knocked over the stacks of canned goods, which indicates that the event was caused by an external factor (the workmen's actions) rather than any action by Dotty. Therefore, the criteria for applying res ipsa loquitur are not met, making answer (C) correct.",-5.25534200668335,-100.0,-0.005342144053429365,-9.505342483520508,0.9947058067357868
mbe_8,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Dotty, Dotty most likely will",B,B,True,2,2665,140,"In Indiana, a real-property owner owes a duty of care to social guests that requires the host to refrain from willfully, wantonly, or intentionally injuring them.","B  
Reasoning: The gold passage establishes that in Indiana, a host owes a duty of care to social guests that requires the host to refrain from willfully, wantonly, or intentionally injuring them. This implies that liability for a host, such as Dotty, would arise only if she were negligent in her actions. Since the passage does not indicate that Dotty acted willfully or intentionally in serving the tuna, she would only be held liable if her conduct was negligent, making answer (B) the correct choice.",-2.1283016204833984,-0.1283015012741089,-6.878301620483398,-100.0,0.8798896539232746
mbe_9,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Supermart, the most likely result is that Guest will",B,B,True,2,2587,188,"To demonstrate strict liability, a plaintiff must show that the defendant's product was defectively unreasonably dangerous for its intended use, that the defect existed when the product left the defendant's control, and that the defect was the proximate cause of the injury sustained.","B  
Reasoning: The gold passage outlines the requirements for establishing strict liability, which include showing that the product was in a defective condition that was unreasonably dangerous for its intended use, that the defect existed when the product left the defendant's control, and that the defect was the proximate cause of the injury. In this case, the tuna was unfit for consumption and caused illness, indicating it was defective and unreasonably dangerous. The defect existed when the tuna left Supermart's control, as it was part of the damaged goods sold. Therefore, Guest can recover against Supermart on the theory of strict liability in tort, making answer (B) correct.",-100.0,-6.988221684878226e-06,-100.0,-100.0,1.0
mbe_10,nan,MBE-1972-78-part2,train,"If Addle assigns the contract to Coot, who has comparable experience and reputation, which of the fo",C,B,False,2,2321,107,Contracts are freely assignable unless the contract expressly states otherwise or if the performance involves an element of personal skill or credit.,"B  
Reasoning: The gold passage establishes that contracts are freely assignable unless there is an express provision against assignment or if the performance involves personal skill or credit. In this case, painting a barn likely involves an element of personal skill and credit, as Boone may have chosen Addle based on his reputation and expertise. Therefore, Boone may refuse to accept performance by Coot, making answer (B) correct.",-14.125009536743164,-9.729906196298543e-06,-14.000009536743164,-100.0,0.9999984346519099
mbe_11,nan,MBE-1972-78-part2,train,If Addle assigns the contract to Coot and thereafter Coot does not meet the contract specifications ,A,A,True,2,2345,88,"Under Massachusetts law, claims for breach of contract are generally assignable.","A  
Reasoning: The gold passage establishes that under Massachusetts law, claims for breach of contract are generally assignable. Since Addle assigned the contract to Coot, Boone can still hold Addle liable for damages if Coot fails to meet the contract specifications. Therefore, Boone has a cause of action against Addle for damages, making answer (A) correct.",-0.7135990858078003,-0.7135990858078003,-3.96359920501709,-100.0,0.49049080492865826
mbe_12,nan,MBE-1972-78-part2,train,"On the evidence stated, Crowley should be found",C,B,False,2,2533,166,"To obtain a conspiracy conviction under § 371, the Government must prove that an agreement existed to commit a crime, that the defendant knowingly and voluntarily joined the conspiracy, and that a conspirator performed an overt act in furtherance of the agreement.","B  
Reasoning: The gold passage outlines the requirements for a conspiracy conviction, which include the existence of an agreement to commit a crime, the defendant's knowing and voluntary participation in that conspiracy, and an overt act in furtherance of the agreement. In this case, Crowley knowingly agreed to buy stolen food stamps, which indicates his participation in the conspiracy. By purchasing the stamps, he also performed an overt act in furtherance of the conspiracy. Therefore, Crowley should be found guilty as he meets the criteria for conspiracy outlined in the passage, making answer (B) correct.",-5.2554521560668945,-0.005452174227684736,-11.255452156066895,-100.0,0.9947670025258136
