idx,subject,source,split,question,correct_answer,predicted_answer,is_correct,condition,tokens_input,tokens_output,raw_response_1,raw_response_2,logprob_A,logprob_B,logprob_C,logprob_D,confidence
mbe_0,nan,MBE-1972-78-part2,train,Paul then called Vic to testify that Dan's car did run the light. The trial judge should rule that V,B,B,True,3,385,246,"B

Step 1 — RULE: The evidence must be relevant to material issues to be admissible.

Step 2 — ELEMENTS: For evidence to be admissible, it must be relevant and not outweighed by countervailing considerations.

Step 3 — APPLICATION: 
- (A) Admissible because Paul was surprised by Wes's testimony: While surprise can sometimes allow for the introduction of additional evidence, it is not a primary reason for admissibility in this context.
- (B) Admissible because Vic's testimony was relevant to material issues: Vic's testimony directly addresses the issue of whether Dan's car ran the red light, making it relevant to the case.
- (C) Inadmissible because Paul cannot impeach his own witness: This is incorrect; a party can call another witness to contradict a prior witness's testimony.
- (D) Inadmissible because Paul is bound by the testimony of his own witness: This is also incorrect; Paul is not bound by Wes's testimony and can present additional evidence.

Step 4 — CONCLUSION: The best answer is (B) because Vic's testimony is relevant to the material issue of whether Dan's car ran the red light.",,-7.010192394256592,-0.010192444548010826,-4.760192394256592,-100.0,0.9905270179497698
mbe_1,nan,MBE-1972-78-part2,train,"On cross-examination of Vic, Dan's attorney asked if Vic was drunk at the time he witnessed the acci",D,D,True,3,566,111,"D  
The gold passage states that a matter is considered collateral if it is not relevant in the litigation to establish a fact of consequence, and that inconsistencies relating to collateral matters may not be admissible due to concerns about wasting time and misleading the jury. In this case, the question of whether Vic has ever been drunk is not relevant to the facts of the accident itself or to the credibility of his testimony regarding the specific event in question. Therefore, the trial judge should rule that Yank's testimony is inadmissible because it pertains to a collateral matter.",,-100.0,-100.0,-1.5056809186935425,-0.25568094849586487,0.7772998560157665
mbe_2,nan,MBE-1972-78-part2,train,Dan called Zemo as a witness and asked him if he knew Vic's reputation for veracity in the community,C,C,True,3,551,306,"C

Step 1 — RULE: The legal principle regarding the admissibility of character evidence for impeachment purposes allows a witness to testify about another person's reputation for veracity in the community.

Step 2 — ELEMENTS: The key elements for admissibility of character evidence for impeachment are: 
1. The witness must have knowledge of the person's reputation in the community.
2. The testimony must be relevant to the credibility of the witness being impeached.

Step 3 — APPLICATION: 
- (A) This option states that the question is objectionable because it is collateral to the issues on trial. However, reputation for veracity is directly relevant to the credibility of Vic, making this option incorrect.
- (B) This option claims that character cannot be proven by generalities. However, reputation can be established through general community knowledge, so this option is also incorrect.
- (C) This option states that the question is unobjectionable because it lays a foundation for impeachment of Vic. This aligns with the rule that allows for reputation evidence to be used for impeachment, making this option correct.
- (D) This option suggests that Zemo could be expected to know Vic personally if he knows his reputation. While this may be true, it does not directly address the admissibility of the question regarding reputation for veracity, making it less relevant than option C.

Step 4 — CONCLUSION: The best answer that satisfies the rule given the facts is (C), as it correctly identifies the question as relevant for impeachment purposes.",,-7.8989410400390625,-100.0,-0.023940930142998695,-4.0239410400390625,0.9816473510347058
mbe_3,nan,MBE-1972-78-part2,train,"Jim watched a liquor store furtively for some time, planning to hold it up. He bought a realistic-lo",B,A,False,3,520,287,"A

Step 1 — RULE: The unlawful-entry element of generic burglary excludes any case in which a person enters premises open to the public, regardless of intent.

Step 2 — ELEMENTS: The key elements of the rule are: 
1. Breaking and entering a building or structure.
2. The building or structure must not be open to the public for the entry to be considered unlawful.

Step 3 — APPLICATION: 
- (A) The intent required was not present: This is not a strong defense because Jim had the intent to commit a robbery, even if he had a change of heart.
- (B) The liquor store was open to the public: This is a strong defense because if the store was open to the public, Jim's entry would not constitute unlawful entry, thus negating the burglary charge.
- (C) He had a change of heart and withdrew before committing any crime inside the store: While this may show a lack of intent to complete the crime, it does not address the unlawful entry element.
- (D) He was unsuccessful, and so at most could only be guilty of attempted burglary: This does not negate the fact that he unlawfully entered the store.

Step 4 — CONCLUSION: The best defense for Jim is (B) that the liquor store was open to the public, which would mean his entry was not unlawful and thus does not meet the elements of burglary.",,-0.11053980886936188,-5.36053991317749,-2.3605399131774902,-100.0,0.9003763048235359
mbe_7,nan,MBE-1972-78-part2,train,"If Dotty asserts a claim against Canco based on negligence, the doctrine of res ipsa loquitur is",C,C,True,3,760,373,"C

Step 1 — RULE: The res ipsa loquitur doctrine allows a jury to infer negligence from circumstantial evidence when certain criteria are met.

Step 2 — ELEMENTS: The criteria for applying res ipsa loquitur include: (1) the event must be of a kind that ordinarily does not occur without someone's negligence; (2) it must be caused by an agency or instrumentality within the exclusive control of the defendant; (3) it must not have been due to any voluntary action or contribution on the part of the plaintiff.

Step 3 — APPLICATION: 
- (A) is incorrect because while the tuna was packed in a sealed can, the fact that it was damaged and subsequently knocked over by workmen suggests that the event may not have occurred without negligence, but it does not satisfy the requirement of exclusive control by Canco at the time of the incident.
- (B) is incorrect because strict liability does not apply here; the question is about negligence and the application of res ipsa loquitur, which is not automatically applicable just because Canco is the packer.
- (C) is correct because the fact that the case of tuna was knocked over by the workmen indicates that the tuna was not in the exclusive control of Canco at the time of the incident, which is a key element for res ipsa loquitur to apply.
- (D) is incorrect because the sign indicating ""Damaged Cans-Half Price"" does not negate the possibility of negligence; it merely informs customers of the condition of the goods.

Step 4 — CONCLUSION: The best answer is (C) because the involvement of the workmen in knocking over the cans means that the tuna was not under Canco's exclusive control at the time of the incident, which is a necessary condition for applying res ipsa loquitur.",,-8.250709533691406,-100.0,-0.0007099286303855479,-8.000709533691406,0.9994036344432298
mbe_8,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Dotty, Dotty most likely will",B,B,True,3,644,222,"B

Step 1 — RULE: The duty of care owed by a real-property owner to his social guests requires only that the host refrain from willfully, wantonly, or intentionally injuring his social guests.

Step 2 — ELEMENTS: 
1. The individual must be a social guest.
2. The host must refrain from willful, wanton, or intentional injury to the guest.

Step 3 — APPLICATION: 
- Guest is a social visitor, which satisfies the first element.
- For Dotty to be held liable, she must have acted willfully, wantonly, or intentionally in serving the spoiled tuna. The facts do not indicate that Dotty had any knowledge of the tuna being spoiled or that she acted with any intent to harm Guest. Therefore, she did not act willfully or wantonly.

Step 4 — CONCLUSION: Since Dotty did not act willfully, wantonly, or intentionally, she is not likely to be held liable. Thus, the best answer is B, as it aligns with the requirement of negligence rather than strict liability or intentional harm.",,-6.751224517822266,-0.0012247511185705662,-100.0,-100.0,0.998830489462421
mbe_9,nan,MBE-1972-78-part2,train,"If Guest asserts a claim against Supermart, the most likely result is that Guest will",B,B,True,3,595,374,"B

Step 1 — RULE: To demonstrate strict liability, a plaintiff must show that the defendant's product was in a defective condition unreasonably dangerous for its intended use, that the defect existed when the product left the defendant's control, and that the defect was the proximate cause of the injury sustained.

Step 2 — ELEMENTS: The key elements of strict liability are: (1) the product was in a defective condition unreasonably dangerous for its intended use, (2) the defect existed when the product left the defendant's control, and (3) the defect was the proximate cause of the injury.

Step 3 — APPLICATION: 
- The tuna was unfit for consumption, indicating it was in a defective condition that was unreasonably dangerous for its intended use (element 1).
- The tuna came from a case that was damaged by the plumbing contractor's workmen, suggesting that the defect existed when the product left Canco's control (element 2).
- Dotty and Guest's illness was caused by consuming the defective tuna, establishing that the defect was the proximate cause of their injury (element 3).

Answer choices:
(A) Res ipsa loquitur is not applicable here as the facts do not suggest that the injury was caused by an event that typically would not occur without negligence.
(B) This choice aligns with the elements of strict liability as outlined above.
(C) Supermart's warning about the damaged cans does not negate liability under strict liability principles.
(D) Guest's status as a non-purchaser does not preclude recovery under strict liability, as she was a foreseeable user of the product.

Step 4 — CONCLUSION: The best answer is (B) because Guest can recover on the theory of strict liability in tort, as all elements of strict liability are satisfied based on the facts provided.",,-100.0,-17.000436782836914,-100.0,-100.0,1.0
mbe_10,nan,MBE-1972-78-part2,train,"If Addle assigns the contract to Coot, who has comparable experience and reputation, which of the fo",C,B,False,3,370,222,"B

Step 1 — RULE: Contracts are freely assignable unless expressly stated otherwise or if the performance involves an element of personal skill or credit.

Step 2 — ELEMENTS: The key elements are: 
1. Contracts are generally assignable.
2. Exceptions include: 
   a. An express provision against assignment.
   b. Performance involving personal skill or credit.

Step 3 — APPLICATION: In this case, the contract between Addle and Boone does not contain a provision against assignment. However, the nature of the contract (painting a barn) may involve an element of personal skill or credit, given Addle's reputation and experience in the painting and contracting business. Boone may have a reasonable expectation that Addle, due to his established reputation, would personally perform the work. Therefore, Boone may refuse to accept performance by Coot, even though Coot has comparable experience and reputation.

Step 4 — CONCLUSION: The correct answer is (B) Boone may refuse to accept performance by Coot, as the assignment may not be permissible due to the personal skill involved in the contract.",,-100.0,-0.029927050694823265,-10.029927253723145,-100.0,0.9999546021405142
mbe_11,nan,MBE-1972-78-part2,train,If Addle assigns the contract to Coot and thereafter Coot does not meet the contract specifications ,A,A,True,3,408,280,"A

Step 1 — RULE: Under Massachusetts law, claims for breach of contract are generally assignable.

Step 2 — ELEMENTS: The key elements of the rule are that (1) breach of contract claims can be assigned, and (2) the original party (Addle) may still retain liability for the performance of the contract even after assignment.

Step 3 — APPLICATION: 
- (A) Boone has a cause of action against Addle for damages: This is correct because even though Addle assigned the contract to Coot, Addle remains liable for the performance of the contract.
- (B) Boone has a cause of action only against Coot for damages: This is incorrect because Boone can also pursue Addle for damages.
- (C) Boone has a cause of action against Addle for damages only after he has first exhausted his remedies against Coot: This is incorrect as there is no requirement to exhaust remedies against Coot before pursuing Addle.
- (D) Boone does not have a cause of action against Addle for damages because he waived his rights against Addle by permitting Coot to perform the work: This is incorrect because the assignment does not waive Boone's rights against Addle.

Step 4 — CONCLUSION: The best answer is (A) because Boone retains the right to pursue Addle for damages despite the assignment to Coot.",,-0.05992608889937401,-4.5599260330200195,-3.0599260330200195,-100.0,0.9425994024032843
mbe_12,nan,MBE-1972-78-part2,train,"On the evidence stated, Crowley should be found",C,B,False,3,545,272,"B

Step 1 — RULE: To obtain a conspiracy conviction under § 371, the Government must prove (1) that an agreement existed between two or more persons to commit a crime; (2) that the defendant knowingly and voluntarily joined or participated in the conspiracy; and (3) a conspirator performed an overt act in furtherance of the agreement.

Step 2 — ELEMENTS: The key elements for a conspiracy conviction are: 
1. Existence of an agreement to commit a crime.
2. The defendant's knowing and voluntary participation in the conspiracy.
3. An overt act performed by a conspirator in furtherance of the agreement.

Step 3 — APPLICATION: 
- There was an agreement between Jackson, Brannick, and Crowley to commit the crime of stealing food stamps, as evidenced by Jackson's call to Crowley and Crowley's agreement to buy the stolen stamps.
- Crowley knowingly and willingly participated in the conspiracy by agreeing to buy the stolen food stamps, which indicates his voluntary involvement.
- The act of delivering the stolen food stamps to Crowley constitutes an overt act in furtherance of the conspiracy.

Step 4 — CONCLUSION: Crowley should be found guilty because he knowingly and willingly aided and abetted the conspiracy and is chargeable as a principal, fulfilling all the elements required for a conspiracy conviction.",,-5.7535223960876465,-0.003522621700540185,-9.628522872924805,-100.0,0.9967616827620982
